date,volume_bn,value_Trillion,MoM_vol%,MoM_val%,avg_ticket_size,MA_3M_vol,MA_3M_val
2022-06-01,5.8628,10.144126,,,1730.252780241523,,
2022-07-01,6.288399999999999,10.63117,7.259330012963083,4.801241624956143,1690.6001526620444,,
2022-08-01,6.5796,10.731622,4.63074868010942,0.9448818897637823,1631.0447443613593,6.2436,10.502305999999999
2022-09-01,6.7808,11.164381,3.057936652684057,4.032559104299427,1646.469590608778,6.549600000000001,10.842391
2022-10-01,7.3054,12.115875,7.736550259556396,8.522586249967645,1658.4820817477482,6.8886,11.337292666666668
2022-11-01,7.3095,11.905933999999998,0.0561228680154402,-1.7327762130263213,1628.8301525412135,7.131900000000001,11.728729999999999
2022-12-01,7.8295,12.819709,7.11402968739312,7.674954354694075,1637.3598569512737,7.481466666666667,12.280506
2023-01-01,8.0369,12.990588,2.6489558720224737,1.3329397726578707,1616.3680025880628,7.7253,12.572077
2023-02-01,7.534800000000001,12.358466000000002,-6.247433712003369,-4.865999907009588,1640.1850082284866,7.800400000000001,12.722921
2023-03-01,8.6853,14.049506000000001,15.269151138716342,13.683251626860482,1617.618965378283,8.085666666666667,13.132853333333335
2023-04-01,8.863299999999999,14.155047,2.049439858151114,0.75120790723886,1597.0402671691133,8.361133333333333,13.521006333333332
2023-05-01,9.4152,14.891454,6.226800401656285,5.202434156523816,1581.63968901351,8.987933333333332,14.365335666666667
2023-06-01,9.3351,14.754643,-0.8507519755289294,-0.9187215701032314,1580.5554305792116,9.204533333333334,14.600381333333333
2023-07-01,9.9643,15.335363999999998,6.7401527567996,3.935852599076761,1539.0307397408747,9.571533333333335,14.993820333333332
2023-08-01,10.586,15.765365,6.239274208925871,2.803983002946664,1489.2655393916493,9.9618,15.285123999999998
2023-09-01,10.5557,15.791331999999999,-0.28622709238617094,0.16470915833537436,1496.0004547306194,10.368666666666668,15.630687
2023-10-01,11.4088,17.157683000000002,8.081889405723919,8.652537987295839,1503.8990077834655,10.850166666666667,16.238126666666666
2023-11-01,11.235299999999999,17.397406,-1.5207559077203614,1.3971758307925297,1548.4594091835554,11.0666,16.782140333333334
2023-12-01,12.0202,18.229495,6.986017284807722,4.782833716704671,1516.571687659107,11.554766666666666,17.594861333333338
2024-01-01,12.203,18.41084,1.520773364835848,0.9947889395729215,1508.7142505941163,11.8195,18.012580333333332
2024-02-01,12.1027,18.278693999999998,-0.8219290338441265,-0.7177619272124569,1510.2988589323043,12.108633333333335,18.306343
2024-03-01,13.44,19.783532,11.04960050236723,8.232743542837383,1471.988988095238,12.5819,18.824355333333333
2024-04-01,13.304,19.644645,-1.0119047619047583,-0.7020333881735619,1476.5968881539386,12.9489,19.235623666666665
2024-05-01,14.0358,20.449371,5.500601322910392,4.096414060931108,1456.9437438549992,13.593266666666667,19.959182666666667
2024-06-01,13.8851,20.070812,-1.073683010587212,-1.8512011934254557,1445.492794434322,13.741633333333333,20.054942666666665
2024-07-01,14.4356,20.642924,3.9646815651309675,2.8504676342940183,1430.0011083709717,14.118833333333333,20.387702333333333
2024-08-01,14.9631,20.607356,3.654160547535268,-0.17230117206264994,1377.2116740515,14.427933333333334,20.440364
2024-09-01,15.041799999999999,20.639947,0.5259605295693914,0.15815226368680602,1372.1726788017393,14.8135,20.630075666666666
2024-10-01,16.585,23.498215,10.259410442899132,13.848233234319828,1416.835393427796,15.529966666666667,21.581839333333335
2024-11-01,15.482,21.551873999999998,-6.6505878806150225,-8.282931277971539,1392.0600697584289,15.702933333333334,21.896678666666663
2024-12-01,16.73,23.246999,8.0609740343625,7.865325307673943,1389.5396891811117,16.265666666666664,22.765695999999995
2025-01-01,16.996,23.480371,1.5899581589958078,1.0038801137299602,1381.5233584372797,16.402666666666665,22.759748000000002
2025-02-01,16.1062,21.964817000000004,-5.235349493998576,-6.454557298093788,1363.7491773354361,16.610733333333332,22.897395666666668
2025-03-01,18.3015,24.772216,13.630154847201691,12.78134482067388,1353.5620577548289,17.134566666666668,23.405801333333333
2025-04-01,17.8934,23.949258999999998,-2.229871868426092,-3.322096820082643,1338.4409335285636,17.4337,23.562097333333337
2025-05-01,18.6775,25.14297,4.382062659975183,4.9843337532906595,1346.1635657877125,18.2908,24.621481666666664
2025-06-01,18.395,24.039307,-1.5125150582251279,-4.3895490469105125,1306.8391954335418,18.321966666666665,24.377178666666666
2025-07-01,19.468,25.084981000000003,5.833106822506129,4.349850850525772,1288.5237826176292,18.846833333333333,24.755752666666666
2025-08-01,20.0083,24.854729,2.775323607972058,-0.9178878788068556,1242.2209283147495,19.290433333333333,24.659672333333333
2025-09-01,19.6334,24.897365,-1.8737224052018275,0.17154079611974016,1268.1127568327443,19.703233333333333,24.945691666666665
2025-10-01,20.7009,27.277907000000003,5.437163201483175,9.561421459660501,1317.715993024458,20.1142,25.676667
2025-11-01,20.467,26.316326,-1.129902564622809,-3.5251274960355405,1285.7930326867643,20.2671,26.163866
2025-12-01,21.634700000000002,27.967127,5.705281672936935,6.272915907790466,1292.6977032267605,20.9342,27.187120000000004
2026-01-01,21.7035,28.334812999999997,0.3180076451256397,1.3147077996248813,1305.5411799940102,21.2684,27.539422000000002
